location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Color Swatch,Colour Swatch,,yes,terminology,"",Gramps_Glossary#color_swatch
,Configure,Configure,,yes,terminology,"user-configurable settings that customise local view mode behavior",Gramps_Glossary#configure
,Context menu,Context menu,,yes,terminology,"GUI term: pop-up menu of options appropriate for the right-clicked item",Gramps_Glossary#context_menu
,CSV,CSV,,yes,,"an acronym for the Comma Separated Value data interchange format in plain-text with delimiters",Gramps_Glossary#json
,Custom Filter,Custom Filter,,yes,terminology,"a rule system for displaying only those records that match certain criteria",Gramps_Glossary#filter
,custom Types,custom Types,,yes,terminology,"user-defined classification; as opposed to classifications that came pre-defined",Gramps_Glossary#custom
,Date,Date,,yes,terminology,"time period with specific quality, precision, and calendar endpoints",Gramps_Glossary#date
,debug,debug,,False,,,
,Default,Default,,False,,,
,Default,Default,,False,,,
,Delimiter,Delimiter,,False,,,
,DNA,DNA,,yes,,"an acronym for DeoxyriboNucleic Acid; the building blocks of genetic information",Gramps_Glossary#dna
,Dock,Dock,,yes,terminology,"GUI term: add a Gramplet to the Dashboard view or splitbar containers",Gramps_Glossary#dock
,DTD,DTD,,yes,,"an acronym for Document Type Definition: a standardised document format defining of the structure of a file",Gramps_Glossary#dtd
,Edit Family,Edit Family,,yes,terminology,"revise the structured data describing the basic relationship grouping of tightly knit persons",Gramps_Glossary#edit_family
,Edit Person,Edit Person,,yes,terminology,"revise the structured data describing an individual",Gramps_Glossary#edit_person
,Event,Event,,yes,terminology,"structured data about a happening",Gramps_Glossary#event
,Event Role,Event Role,,yes,terminology,"the part a person plays in a happening",Gramps_Glossary#event_role
,Events,Events,,yes,terminology,"structured data about a happening",Gramps_Glossary#event
,event type,event type,,yes,terminology,"generic grouping of happenings",Gramps_Glossary#event_type
,Fallback events,Fallback events,,yes,terminology,"various happenings that are considered comparable to a missing vital statistic happening",Gramps_Glossary#fallback
,Family,Family,,yes,terminology,"the basic relationship grouping of tightly knit persons",Gramps_Glossary#family
,File Chooser,File Chooser,,yes,terminology,"",Gramps_Glossary#file_chooser
,File formats,File formats,,yes,terminology,"standard structures for storing data in a computer file identified by its file extension",Gramps_Glossary#file_format
,Filter,Filter,,yes,terminology,"",Gramps_Glossary#filter
,funeral,funeral,,False,,,
,GEDCOM,GEDCOM,,yes,,"an acronym for the Genealogical Data Communication standardised data interchange format",Gramps_Glossary#gedcom
,Godparent,Godparent,,yes,,"a term to identify the Christening/Baptism Event Role as being a surrogate parent",Gramps_Glossary#godparent
,Gramplet,Gramplet,,yes,terminology,"a type of small embeddable Gramps plugin which extends the interface to dynamically interact with genealogy data",Gramps_Glossary#gramplet
,Gramps for Desktops,Gramps for Desktops,,yes,terminology,"",Gramps_Glossary#gramps
,Gramps,Gramps,,yes,terminology,"",Gramps_Glossary#gramps
,Gramps Web for Servers,Gramps Web for Servers,,yes,terminology,"",Gramps_Glossary#grampsweb
,Gramps Web,Gramps Web,,yes,terminology,"",Gramps_Glossary#grampsweb
,Graphical User Interface,Graphical User Interface,,yes,terminology,"Visual system of icons, buttons, and menus enabling point-and-click software interaction",Gramps_Glossary#graphical_user_interface
,Groom,Groom,,yes,,"a term to identify the Marriage Role as being a husband",Gramps_Glossary#groom
,GUI,GUI,,yes,terminology,"an acronym for the Graphical User Interface of an app",Gramps_Glossary#graphical_user_interface
,Home Person,Home Person,,yes,terminology,"person designated as the persistent center of research",Gramps_Glossary#home_person
,Informant,Informant,,yes,terminology,"a term to identify the Event Role as being the reporting source",Gramps_Glossary#informant
,JSON,JSON,,yes,,"an acronym for the JavaScript Object Notation data interchange format",Gramps_Glossary#json
,keybinding,keybinding,,yes,terminology,"",Gramps_Glossary#keybinding
,matronym,matronym,,yes,,"",Gramps_Glossary#matronymic
,maximized,maximised,,False,,,
,Media,Media,,yes,terminology,"",Gramps_Glossary#media
,Merge,Merge,,yes,terminology,"",Gramps_Glossary#merge
,Mode,Mode,,yes,terminology,"",Gramps_Glossary#viewmode
,Name Origin,Name Origin,,yes,terminology,"",Gramps_Glossary#name_origin
,Navigator,Navigator,,yes,terminology,"",Gramps_Glossary#navigator
,neighborhood,neighbourhood,,False,,,
,Note,Note,,yes,terminology,"",Gramps_Glossary#note
,Object Editor,Object Editor,,yes,terminology,"",Gramps_Glossary#object_editor
,Object,Object,,yes,terminology,"structured database container for one full genealogical record (not a programming object)",Gramps_Glossary#object
,Object Reference Editors,Object Reference Editors,,yes,terminology,"",object_reference_editors
,Officiator,Officiator,,yes,terminology,"",Gramps_Glossary#officiator
,organized,organised,,False,,,
,organize,organise,,False,,,
,patronym,patronym,,yes,terminology,"",Gramps_Glossary#patronymic
,Person,Person,,yes,terminology,"A ""person"" record within Gramps",Gramps_Glossary#person
,Place,Place,,yes,terminology,"",Gramps_Glossary#place
,places,places,,False,,,
,Plug-in,Plug-in,,yes,terminology,"expansion module managed with the Addon Manager",Gramps_Glossary#plugin
,Plugin,Plugin,,yes,terminology,"expansion module managed with the Addon Manager",Gramps_Glossary#plugin
,POSIX,POSIX,,yes,,"",Gramps_Glossary#posix
,Preferences,Preferences,,yes,terminology,"global user-configurable settings that persistently customise Gramps behavior including appearance and functionality",Gramps_Glossary#preferences
,Prerequisites,Prerequisites,,yes,terminology,"",Gramps_Glossary#prerequisites
,Primary Object,Primary Object,,yes,terminology,"top-level database record for the various categories",Gramps_Glossary#primary_object
,Primary role,Primary role,,yes,terminology,"",Gramps_Glossary#primary
,Private flag,Private flag,,yes,terminology,"",Gramps_Glossary#private
,Private tag,Private tag,,yes,terminology,"",Gramps_Glossary#private_tag
,project,project,,False,A project object within Gramps,,
,Public flag,Public flag,,yes,terminology,"",Gramps_Glossary#public
,Public tag,Public tag,,yes,terminology,"",Gramps_Glossary#public_tag
,Quick View,Quick View,,yes,terminology,"",Gramps_Glossary#quickview
,Reference information,Reference information,,yes,terminology,"",Gramps_Glossary#reference_information
,Reference,Reference,,yes,terminology,"",Gramps_Glossary#reference
,References tab,References tab,,yes,terminology,"",Gramps_Glossary#references_tab
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,Regular Expressions,Regular Expressions,,yes,terminology,"RegEx: Sequence of characters defining text search and match patterns.",Gramps_Glossary#regex
,relation,relation,,False,,,
,Re-order,Re-order,,yes,terminology,"",Gramps_Glossary#reorder
,Repositories,Repositories,,yes,terminology,"",Gramps_Glossary#repository
,Repository,Repository,,yes,terminology,"",Gramps_Glossary#repository
,Role,Role,,yes,terminology,"",Gramps_Glossary#role
,Roles,Roles,,yes,terminology,"",Gramps_Glossary#role
,romanization,romanization,,yes,,"",Gramps_Glossary#romanization
,Rule,Rule,,yes,terminology,"",Gramps_Glossary#rule
,Rules,Rules,,yes,terminology,"",Gramps_Glossary#rule
,Secondary Object,Secondary Object,,yes,terminology,"supporting database record attached to various primary objects",Gramps_Glossary#secondary_object
,Selector combo box,Selector combo box,,yes,terminology,"",Gramps_Glossary#selector_combo_box
,selector,object selector,,yes,terminology,"",Gramps_Glossary#selector
,Shared information,Shared information,,yes,terminology,"",Gramps_Glossary#shared_information
,Shared object,Shared object,,yes,terminology,"one secondary object shared across multiple primary objects with customizable attachment details",Gramps_Glossary#sharing
,Source,Source,,yes,terminology,"",Gramps_Glossary#source
,Sources,Sources,,yes,terminology,"",Gramps_Glossary#source
,SQLite,SQLite,,yes,terminology,"",Gramps_Glossary#sqlite
,Swatch,Swatch,,yes,terminology,"",Gramps_Glossary#swatch
,Tags,Tags,,yes,terminology,"custom titles and colour-coding applied to objects",Gramps_Glossary#tag
,Tag,Tag,,yes,terminology,"a custom title and colour-coding applied to an object",Gramps_Glossary#tag
,Toolbar,Toolbar,,yes,terminology,"GUI term: ribbon of button shortcuts to trigger a View task or mode of operation",Gramps_Glossary#toolbar
,Try to find,Try to find,,False,,,
,Typographical conventions,Typographical conventions,,yes,,"customary formatting implying special (and possibly peculiar) meaning",Gramps_Glossary#typographical_conventions
,Undock,Undock,,yes,terminology,"GUI term: float a Gramplet free from the Dashboard view or splitbar containers",Gramps_Glossary#dock
,Unknown,Unknown,,yes,terminology,"term indicating the role played in an Event has not been identified",Gramps_Glossary#unknown
,unrecognized,unrecognised,,False,,,
,User Directory,User Directory,,yes,terminology,"alias for the path to a file folder location storing customizations and data for apps",Gramps_Glossary#user_directory
,View category,View category,,yes,terminology,"collection of View modes presenting differing aspects of similar structured information",Gramps_Glossary#view_category
,View mode,View mode,,yes,terminology,"display layouts presenting a View category's structured information in a predictable manner",Gramps_Glossary#viewmode
,View,View,,yes,terminology,"the currently active display mode in a Category with filtered data. Including supplemental controls and gramplet displays",Gramps_Glossary#view
,Wiki,Wiki,,yes,terminology,"a collaboratively maintained website",Gramps_Glossary#wiki
,Witness,Witness,,yes,,"a term to identify the Event Role as being an observer",Gramps_Glossary#witness
,XML,XML,,yes,terminology,"an acronym for Extensible Markup Language: a structured file format that allows custom tags",Gramps_Glossary#xml

