location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Tammuz,תַּמּוּז,,False,calendar,"לוח שנה עברי: החודש העשירי בשנה האזרחית; החודש הרביעי בשנה הכנסייתית",Hebrew_dates
,Av,אָב,,False,calendar,"לוח שנה עברי: החודש האחד עשר בשנה האזרחית; החודש החמישי בשנה הכנסייתית",Hebrew_dates
,Elul,אֱלוּל,,False,calendar,"לוח שנה עברי: החודש השנים עשר של השנה האזרחית; החודש השישי של השנה הכנסייתית",Hebrew_dates
,Activate,שפעול,,False,,,
,Active Person,Active Person,,yes,terminology,"person designated as the momentary center of focus",Gramps_Glossary/he#active_person
,Add-on,תוסף,,yes,terminology,"optional third-party expansion plugin installed via the Addon Manager",Gramps_Glossary/he#addon
,Addon,תוסף,,yes,terminology,"optional third-party expansion plugin installed via the Addon Manager",Gramps_Glossary/he#addon
,Address,Address,,yes,terminology,"a particular location with an associated time frame",Gramps_Glossary/he#address
,administrative division,administrative division,,yes,terminology,"unit subdividing a geopolitical region into conventional layers",Gramps_Glossary/he#administrative_division
,Aide,Aide,,yes,terminology,"a term to identify the Event Role as being an assistant",Gramps_Glossary/he#aide
,ambiguous,רב־משמעי,,False,,,
,Ancestors,אבות קדמונים,,False,,,
,Ancestor,אב קדמון,,False,,,
,Ancestry,יוחסין,,False,,,
,anglicization,anglicization,,yes,,"process of making a foreign name into its English variant",Gramps_Glossary/he#anglicisation
,Association,תסמיך,,yes,terminology,"a role explicitly defining how one person relates to another",Gramps_Glossary/he#association
,Associations,Associations,,yes,terminology,"roles defining non-biological relationships and shared characteristics among persons",Gramps_Glossary/he#association
,Attribute,Attribute,,yes,terminology,"a custom record of a permanent characteristic",Gramps_Glossary/he#attribute
,Attributes,מאפיינים,,yes,terminology,"Customizable categories for permanent characteristics beyond the predefined set",Gramps_Glossary/he#attribute
,Audience,קהל,,False,,,
,automat,איטמוט,,False,,,
,avatar,יצגן,,False,,,
,backlink,קישור חוזר,,False,,,
,base relative media path,נתיב מדיה יחסי,,False,,,
,batch,אצווה,,False,,,
,Blog,יומן רשת,,False,,,
,Blur,ריטוט,,False,,,
,Books Report,Books Report,,yes,terminology,"an ordered collation of Gramps textual and graphical reports in a single document",Gramps_Glossary/he#books_report
,border,גבול,,False,,,
,Bride,Bride,,yes,,"a term to identify the Marriage Role as being a wife",Gramps_Glossary/he#bride
,BSDDB,BSDDB,,yes,,"the Berkeley Software Distribution database: an alternative database engine",Gramps_Glossary/he#bsddb
,bugs,תקלים,,False,,,
,bug,תקל,,False,,,
,burial,קבורה,,False,,,
,Categories,Categories,,yes,terminology,"Gramps organizes each Primary Object into a set of distinctly different descriptive schemas",Gramps_Glossary/he#category
,Category,Category,,yes,terminology,"a descriptive schema of a database Primary Object",Gramps_Glossary/he#category
,Celebrant,Celebrant,,yes,,"a term to identify a Role as the person who performs a rite",Gramps_Glossary/he#celebrant
,census,מפקד,,False,,,
,chart,תרשים,,False,,,
,Citation,מובאה,,yes,terminology,"information that enables locating specific content in source material",Gramps_Glossary/he#citation
,Citations,מובאות,,yes,terminology,"a set of references crediting and locating sources supporting research records",Gramps_Glossary/he#citation
,Clergy,Clergy,,yes,terminology,"a term to identify a Religious Event Role as being an officiator",Gramps_Glossary/he#clergy
,Clipboard,לוח־גזירים,,yes,terminology,"shortcut system for sharing secondary objects, navigation, and for custom filter creation",Gramps_Glossary/he#clipboard
,Color Swatch,Color Swatch,,yes,terminology,"",Gramps_Glossary/he#color_swatch
,Configure,Configure,,yes,terminology,"user-configurable settings that customize local view mode behavior",Gramps_Glossary/he#configure
,Context menu,Context menu,,yes,terminology,"GUI term: pop-up menu of options appropriate for the right-clicked item",Gramps_Glossary/he#context_menu
,CSV,CSV,,yes,,"an acronym for the Comma Separated Value data interchange format in plain-text with delimiters",Gramps_Glossary/he#json
,Custom Filter,Custom Filter,,yes,terminology,"a rule system for displaying only those records that match certain criteria",Gramps_Glossary/he#filter
,custom Types,custom Types,,yes,terminology,"user-defined classification; as opposed to classifications that came pre-defined",Gramps_Glossary/he#custom
,database,מסד־נתונים,,False,,,
,Date,Date,,yes,terminology,"time period with specific quality, precision, and calendar endpoints",Gramps_Glossary/he#date
,debug,ניפוי־תקלים,,False,,,
,Default,ברירת מחדל,,False,,,
,Delimiter,תוחם,,False,,,
,Dialect,להג,,False,,,
,dialect,תסדיר,,False,,'@avma במקור זה לא מונח נכון להשתמש בו.',
,directory,מחיצה,,False,,,
,DNA,DNA,,yes,,"an acronym for DeoxyriboNucleic Acid; the building blocks of genetic information",Gramps_Glossary/he#dna
,Dock,Dock,,yes,terminology,"GUI term: add a Gramplet to the Dashboard view or splitbar containers",Gramps_Glossary/he#dock
,drag-and-drop,גרירה ושחרור,,False,,,
,DTD,DTD,,yes,,"an acronym for Document Type Definition: a standardized document format defining of the structure of a file",Gramps_Glossary/he#dtd
,Edit Family,Edit Family,,yes,terminology,"revise the structured data describing the basic relationship grouping of tightly knit persons",Gramps_Glossary/he#edit_family
,Edit Person,Edit Person,,yes,terminology,"revise the structured data describing an individual",Gramps_Glossary/he#edit_person
,e.g,לדוגמה,,False,,,ראשי תיבות של המילים הלטיניות exempli gratia
,E-mail,דואר אלקטרוני,,False,,,
,Email,דואר אלקטרוני,,False,,,
,Enable,לאפשר,,False,,,
,Event,Event,,yes,terminology,"structured data about a happening",Gramps_Glossary/he#event
,Event Role,Event Role,,yes,terminology,"the part a person plays in a happening",Gramps_Glossary/he#event_role
,Events,אירועים,,False,,,
,event type,event type,,yes,terminology,"generic grouping of happenings",Gramps_Glossary/he#event_type
,Evidence,ראיה,,False,,,
,Fallback events,Fallback events,,yes,terminology,"various happenings that are considered comparable to a missing vital statistic happening",Gramps_Glossary/he#fallback
,Family,Family,,yes,terminology,"the basic relationship grouping of tightly knit persons",Gramps_Glossary/he#family
,Family Surnames,שמות משפחה,,False,,,
,Family tree,אילן־יוחסין,,False,,,
,File Chooser,File Chooser,,yes,terminology,"",Gramps_Glossary/he#file_chooser
,File formats,File formats,,yes,terminology,"standard structures for storing data in a computer file identified by its file extension",Gramps_Glossary/he#file_format
,Filter,Filter,,yes,terminology,"",Gramps_Glossary/he#filter
,footer,סיומת עמוד,,False,,"טכנולוגיית המידע (תשס""ג, 2002) סיומת עמוד footer, running foot מילון עיבוד תמלילים [טכנולוגיית המידע]",
,format,תסדיר,,False,,"טכנולוגיית המידע (תשע""ה, 2015) תסדיר בשפות תכנות – צרף שפה המפרט באמצעות תווים את הייצוג של עצמי נתונים ברשומה, בקובץ, במסר, בהתקן אחסון או באפיק שידור. הפועל: תִּסְדֵּר format n. מילון שפות תכנות [טכנולוגיית המידע] > טיפוסי נתונים",
,funeral,לוויה,,False,,,
,GEDCOM,GEDCOM,,yes,,"an acronym for the Genealogical Data Communication standardized data interchange format",Gramps_Glossary/he#gedcom
,generated,חולל,,False,,,
,Godparent,Godparent,,yes,,"a term to identify the Christening/Baptism Event Role as being a surrogate parent",Gramps_Glossary/he#godparent
,Gramplet,גרמפלט,,yes,terminology,"a type of small embeddable Gramps plugin which extends the interface to dynamically interact with genealogy data",Gramps_Glossary/he#gramplet
,Gramps for Desktops,גרמפס for Desktops,,yes,terminology,"",Gramps_Glossary/he#gramps
,Gramps,גרמפס,,yes,terminology,"",Gramps_Glossary/he#gramps
,Gramps Web for Servers,מרשתת גרמפס for Servers,,yes,terminology,"",Gramps_Glossary/he#grampsweb
,Gramps Web,מרשתת גרמפס for Servers,,yes,terminology,"",Gramps_Glossary/he#grampsweb
,Gramps Web,מרשתת גרמפס,,False,,,
,Graphical User Interface,Graphical User Interface,,yes,terminology,"Visual system of icons, buttons, and menus enabling point-and-click software interaction",Gramps_Glossary/he#graphical_user_interface
,Groom,Groom,,yes,,"a term to identify the Marriage Role as being a husband",Gramps_Glossary/he#groom
,GUI,GUI,,yes,terminology,"an acronym for the Graphical User Interface of an app",Gramps_Glossary/he#graphical_user_interface
,Hierarchy,מדרג,,False,,,"סוציולוגיה (תשע""ו, 2015) מִדְרָג hierarchy מילון סוציולוגיה > מונחי אתניות"
,Home Person,Home Person,,yes,terminology,"person designated as the persistent center of research",Gramps_Glossary/he#home_person
,i.e,כלומר,,False,,,
,i.e,כלומר,,False,,,ראשי תיבות של המילים הלטיניות id est
,Index,מפתח,,False,,"זה מילון ישן, חפש שוב במילוני האקדמיה, במילון החדש מ־2015 זה נקרא ציון: https://terms.hebrew-academy.org.il/munnah/5234_2/index",
,Indicate,מצביע על כך,,False,,,
,Informant,Informant,,yes,terminology,"a term to identify the Event Role as being the reporting source",Gramps_Glossary/he#informant
,interpreter,מפענחת,,False,,,
,JSON,JSON,,yes,,"an acronym for the JavaScript Object Notation data interchange format",Gramps_Glossary/he#json
,keybinding,keybinding,,yes,terminology,"",Gramps_Glossary/he#keybinding
,leap year,שנה מעוברת,,False,,,
,lifespan,משך חיים,,False,,,
,Locality,מקומיות,,False,,,
,localization,המקמה,,False,,,
,matronym,matronym,,yes,,"",Gramps_Glossary/he#matronymic
,Media,Media,,yes,terminology,"",Gramps_Glossary/he#media
,Merge,Merge,,yes,terminology,"",Gramps_Glossary/he#merge
,Mode,Mode,,yes,terminology,"",Gramps_Glossary/he#viewmode
,Module,פרקן,,False,,,
,Name Origin,Name Origin,,yes,terminology,"",Gramps_Glossary/he#name_origin
,namespace,מרחב שמות,,False,,,
,Navigator,Navigator,,yes,terminology,"",Gramps_Glossary/he#navigator
,node,צומת,,False,,,"טכנולוגיית המידע (תשס""ז, 2007) צֹמֶת node מילון מושגים בסיסיים בטכנולוגיית המידע (תשס""ג, 2002)"
,Note,Note,,yes,terminology,"",Gramps_Glossary/he#note
,Object Editor,Object Editor,,yes,terminology,"",Gramps_Glossary/he#object_editor
,Object,עצם,,yes,terminology,"structured database container for one full genealogical record (not a programming object)",Gramps_Glossary/he#object
,Object Reference Editors,Object Reference Editors,,yes,terminology,"",object_reference_editors
,Occupation,עיסוק,,False,,,
,Officiator,Officiator,,yes,terminology,"",Gramps_Glossary/he#officiator
,OK,☑,,False,,,
,override,עקיפה,,False,,,
,package,חבילה,,False,,,
,page,עמוד,,False,,,"ספרנות (תשס""ד, 2003) דַּף leaf, folio מילון ספרנות"
,password,סיסמה,,False,"'@avma נא לשים לב לכתיב ללא ניקוד בעמוד הבא באתר האקדמיה: ",https://hebrew-academy.org.il/keyword/%D7%A1%D6%B4%D7%A1%D6%B0%D7%9E%D6%B8%D7%94/
,patrilineal,מצד משפחת האב,,False,,,
,patronym,patronym,,yes,terminology,"",Gramps_Glossary/he#patronymic
,Pattern,דגם,,False,,,
,pedigree,יוחסין,,False,,,
,Person,אדם,,yes,terminology,"A ""person"" record within Gramps",Gramps_Glossary/he#person
,Place,מקום,,yes,terminology,"",Gramps_Glossary/he#place
,places,מקומות,,False,,,
,Plug-in,מתקע,,yes,terminology,"expansion module managed with the Addon Manager",Gramps_Glossary/he#plugin
,Plugin,מתקע,,yes,terminology,"expansion module managed with the Addon Manager",Gramps_Glossary/he#plugin
,POSIX,POSIX,,yes,,"",Gramps_Glossary/he#posix
,Preferences,העדפות,,yes,terminology,"global user-configurable settings that persistently customize Gramps behavior including appearance and functionality",Gramps_Glossary/he#preferences
,Prerequisites,Prerequisites,,yes,terminology,"",Gramps_Glossary/he#prerequisites
,Primary Object,Primary Object,,yes,terminology,"top-level database record for the various categories",Gramps_Glossary/he#primary_object
,Primary role,Primary role,,yes,terminology,"",Gramps_Glossary/he#primary
,Private flag,Private flag,,yes,terminology,"",Gramps_Glossary/he#private
,Private tag,Private tag,,yes,terminology,"",Gramps_Glossary/he#private_tag
,Probate,קיום צוואה,,False,,,
,Project,מיזם,,False,,,
,project,מיזם,,False,A project object within Gramps,,
,Public flag,Public flag,,yes,terminology,"",Gramps_Glossary/he#public
,Public tag,Public tag,,yes,terminology,"",Gramps_Glossary/he#public_tag
,Python,פיתון,,False,,,
,Quick View,Quick View,,yes,terminology,"",Gramps_Glossary/he#quickview
,reciprocal,הדדי,,False,,,
,Referenced,מאוזכר,,False,,,
,Reference information,Reference information,,yes,terminology,"",Gramps_Glossary/he#reference_information
,Reference,אזכור,,yes,terminology,"בלשנות (תשפ""ג, 2022) אזכור לא: רִפְרוּר reference מילון תחביר [בלשנות]",Gramps_Glossary/he#reference
,References tab,אזכורים tab,,yes,terminology,"",Gramps_Glossary/he#references_tab
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,Region,אזור,,False,,,
,Regular Expressions,ביטוי רגולרי,,yes,terminology,"RegEx: Sequence of characters defining text search and match patterns",Gramps_Glossary/he#regex
,relationships,קשרי־קרבה,,False,,,
,Relationship,יוחסה,,False,,,"טכנולוגיית המידע (תשס""ז, 2007) יוחסה relationship, relation מילון מושגים בסיסיים בטכנולוגיית המידע (תשס""ג, 2002)"
,relationship,קשר־קרבה,,False,,,
,relation,יוחסה,,False,,,
,Re-order,Re-order,,yes,terminology,"",Gramps_Glossary/he#reorder
,Repositories,מאגרים,,yes,terminology,"",Gramps_Glossary/he#repository
,Repository,מאגר,,yes,terminology,"",Gramps_Glossary/he#repository
,reset,שיצוב,,False,,,
,Residence,מגורים,,False,,,
,Role,Role,,yes,terminology,"",Gramps_Glossary/he#role
,Roles,Roles,,yes,terminology,"",Gramps_Glossary/he#role
,romanization,romanization,,yes,,"",Gramps_Glossary/he#romanization
,Rule,Rule,,yes,terminology,"",Gramps_Glossary/he#rule
,Rules,Rules,,yes,terminology,"",Gramps_Glossary/he#rule
,Scale,סילום,,False,,,
,Secondary Object,Secondary Object,,yes,terminology,"supporting database record attached to various primary objects",Gramps_Glossary/he#secondary_object
,Selector combo box,Selector combo box,,yes,terminology,"",Gramps_Glossary/he#selector_combo_box
,selector,object selector,,yes,terminology,"",Gramps_Glossary/he#selector
,session,שיח,,False,,,
,Shared information,Shared information,,yes,terminology,"",Gramps_Glossary/he#shared_information
,Shared object,Shared object,,yes,terminology,"one secondary object shared across multiple primary objects with customizable attachment details",Gramps_Glossary/he#sharing
,sheet,גיליון,,False,,,
,siblings,אַחָאִים,,False,,,
,sibling,אַחָאִי,,False,,,
,Source,Source,,yes,terminology,"",Gramps_Glossary/he#source
,Sources,מקורות,,yes,terminology,"",Gramps_Glossary/he#source
,specific,יחודי,,False,,,
,SQLite,SQLite,,yes,terminology,"",Gramps_Glossary/he#sqlite
,Stamen,Stamen,,False,,,
,style sheet,גיליון סגנון,,False,,,
,style,סגנון,,False,,,
,substring,Teilzeichenfolge,,False,,,
,Suffix,סיומת,,False,,,
,Surnames,שמות משפחה,,False,,,
,surname,שם משפחה,,False,,,
,Swatch,Swatch,,yes,terminology,"",Gramps_Glossary/he#swatch
,Tab,טבלר,,False,,,
,Tab,לשונית,,False,,,
,Tags,Tags,,yes,terminology,"custom titles and color-coding applied to objects",Gramps_Glossary/he#tag
,Tag,Tag,,yes,terminology,"a custom title and color-coding applied to an object",Gramps_Glossary/he#tag
,template,תבנית,,False,,,
,Thumbnail,דוגמית,,False,,,
,Toggle,מיתוג ,,False,,,
,Toolbar,Toolbar,,yes,terminology,"GUI term: ribbon of button shortcuts to trigger a View task or mode of operation",Gramps_Glossary/he#toolbar
,Township,עיירה,,False,,,
,tree view,מצג־עץ,,False,,,
,Try to find,ניסיון למצוא,,False,,,
,Typographical conventions,Typographical conventions,,yes,,"customary formatting implying special (and possibly peculiar) meaning",Gramps_Glossary/he#typographical_conventions
,unambiguous,חד־משמעי,,False,,,
,Undock,Undock,,yes,terminology,"GUI term: float a Gramplet free from the Dashboard view or splitbar containers",Gramps_Glossary/he#dock
,Undo,להסיג,,False,,,
,unique,יחיד,,False,,,
,Unknown,Unknown,,yes,terminology,"term indicating the role played in an Event has not been identified",Gramps_Glossary/he#unknown
,Upgrade,שדרוג,,False,,,
,urls,מעני־url,,False,,,
,URL,מען־URL,,False,,,
,User Directory,User Directory,,yes,terminology,"alias for the path to a file folder location storing customizations and data for apps",Gramps_Glossary/he#user_directory
,version,גרסה,,False,,,
,View category,View category,,yes,terminology,"collection of View modes presenting differing aspects of similar structured information",Gramps_Glossary/he#view_category
,View mode,View mode,,yes,terminology,"display layouts presenting a View category's structured information in a predictable manner",Gramps_Glossary/he#viewmode
,View,View,,yes,terminology,"the currently active display mode in a Category with filtered data. Including supplemental controls and gramplet displays",Gramps_Glossary/he#view
,volume,כרך,,False,,,
,Wiki,Wiki,,yes,terminology,"a collaboratively maintained website",Gramps_Glossary/he#wiki
,Witness,Witness,,yes,,"a term to identify the Event Role as being an observer",Gramps_Glossary/he#witness
,XML,XML,,yes,terminology,"an acronym for Extensible Markup Language: a structured file format that allows custom tags",Gramps_Glossary/he#xml
המילה הנכונה היא סיסמה, בעבר האיות ססמה היה האיות הנכון עד שהוחלף לפני כמה שנים.'",

