location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Fallback events,Événements de repli,,yes,terminology,"various happenings that are considered comparable to a missing vital statistic happening",Gramps_Glossary/fr#fallback
,Family,Famille,,yes,terminology,"le regroupement relationnel de base de personnes très liées",Gramps_Glossary/fr#family
,File Chooser,Sélecteur de fichiers,,yes,terminology,"",Gramps_Glossary/fr#file_chooser
,File formats,Formats de fichiers,,yes,terminology,"structures standard pour le stockage de données dans un fichier informatique identifié par son extension de fichier",Gramps_Glossary/fr#file_format
,Filter,Filtre,,yes,terminology,"",Gramps_Glossary/fr#filter
,funeral,Enterrement,,False,,,
,GEDCOM,GEDCOM,,yes,,"un acronyme pour le format d'échange de données standardisé de communication de données généalogiques",Gramps_Glossary/fr#gedcom
,Godparent,Parrain/Marraine,,yes,,"un terme désignant le rôle de la personne lors du baptême comme celui d'un parent de substitution",Gramps_Glossary/fr#godparent
,Gramplet,Gramplet,,yes,terminology,"a type of small embeddable Gramps plugin which extends the interface to dynamically interact with genealogy data",Gramps_Glossary/fr#gramplet
,Gramps for Desktops,Gramps pour ordinateurs de bureau,,yes,terminology,"",Gramps_Glossary/fr#gramps
,Gramps,Gramps,,yes,terminology,"",Gramps_Glossary/fr#gramps
,Gramps Web for Servers,Gramps Web pour serveurs,,yes,terminology,"",Gramps_Glossary/fr#grampsweb
,Gramps Web,Gramps Web pour serveurs,,yes,terminology,"",Gramps_Glossary/fr#grampsweb
,Graphical User Interface,Interface utilisateur graphique,,yes,terminology,"Système visuel d'icônes, de boutons et de menus permettant une interaction logicielle par pointer-cliquer",Gramps_Glossary/fr#graphical_user_interface
,Groom,Marié,,yes,,"Le terme Grooma désigne le rôle du mari dans le mariage.",Gramps_Glossary/fr#groom
,GUI,GUI,,yes,terminology,"un acronyme pour l'interface utilisateur graphique d'une application",Gramps_Glossary/fr#graphical_user_interface
,Home Person,Personne à la maison,,yes,terminology,"personne désignée comme centre de recherche permanent",Gramps_Glossary/fr#home_person
,home,souche,,False,,,
,ID,Identifiant,,False,,,
,Informant,Informateur,,yes,terminology,"un terme permettant d'identifier le rôle de l'événement comme étant la source du signalement",Gramps_Glossary/fr#informant
,JSON,JSON,,yes,,"un acronyme pour le format d'échange de données JavaScript Object Notation",Gramps_Glossary/fr#json
,keybinding,raccourcis clavier,,yes,terminology,"",Gramps_Glossary/fr#keybinding
,log,journal,,False,,,
,matronym,matronym,,yes,,"",Gramps_Glossary/fr#matronymic
,Media,médias,,yes,terminology,"",Gramps_Glossary/fr#media
,Merge,Fusionner,,yes,terminology,"",Gramps_Glossary/fr#merge
,Mode,Mode,,yes,terminology,"",Gramps_Glossary/fr#viewmode
,Name Origin,Origine du nom,,yes,terminology,"",Gramps_Glossary/fr#name_origin
,Navigator,Navigateur,,yes,terminology,"",Gramps_Glossary/fr#navigator
,Note,Note,,yes,terminology,"",Gramps_Glossary/fr#note
,Object Editor,Éditeur d'objets,,yes,terminology,"",Gramps_Glossary/fr#object_editor
,Object,Objet,,yes,terminology,"Conteneur de base de données structurée pour un enregistrement généalogique complet (et non un objet de programmation)",Gramps_Glossary/fr#object
,Object Reference Editors,Éditeurs de références d'objets,,yes,terminology,"",object_reference_editors
,Officiator,Officier,,yes,terminology,"",Gramps_Glossary/fr#officiator
,patronym,patronyme,,yes,terminology,"",Gramps_Glossary/fr#patronymic
,"person, individual, people",individu(s),,False,,,
,Person,Individu,,False,,"Un enregistrement de « personne » dans Gramps",
,Person,Person,,yes,terminology,"",Gramps_Glossary/fr#person
,Place,lieu,,yes,terminology,"",Gramps_Glossary/fr#place
,places,lieux,,False,,,
,Please...,Veuillez...,,False,,,
,Plug-in,greffon,,yes,terminology,"module d'extension géré par le gestionnaire de modules complémentaires",Gramps_Glossary/fr#plugin
,Plugin,greffon,,yes,terminology,"module d'extension géré par le gestionnaire de modules complémentaires",Gramps_Glossary/fr#plugin
,POSIX,POSIX,,yes,,"",Gramps_Glossary/fr#posix
,Preferences,Préférences,,yes,terminology,"Paramètres globaux configurables par l'utilisateur qui personnalisent en permanence le comportement de Gramps, y compris son apparence et ses fonctionnalités.",Gramps_Glossary/fr#preferences
,Prerequisites,Prérequis,,yes,terminology,"",Gramps_Glossary/fr#prerequisites
,Primary Object,Objet principal,,yes,terminology,"enregistrement de base de données de niveau supérieur pour les différentes catégories",Gramps_Glossary/fr#primary_object
,Primary role,Rôle principal,,yes,terminology,"",Gramps_Glossary/fr#primary
,Private flag,Pavillon privé,,yes,terminology,"",Gramps_Glossary/fr#private
,Private tag,Étiquette privée,,yes,terminology,"",Gramps_Glossary/fr#private_tag
,project,projet,,False,,"A project object within Gramps",
,Public flag,Drapeau public,,yes,terminology,"",Gramps_Glossary/fr#public
,Public tag,Balise publique,,yes,terminology,"",Gramps_Glossary/fr#public_tag
,Quick View,Aperçu rapide,,yes,terminology,"",Gramps_Glossary/fr#quickview
,Reference information,Informations de référence,,yes,terminology,"",Gramps_Glossary/fr#reference_information
,Reference,Références,,yes,terminology,"",Gramps_Glossary/fr#reference
,References tab,Onglet Références,,yes,terminology,"",Gramps_Glossary/fr#references_tab
,REFN,REFN,,False,,"Une balise GEDCOM utilisée pour stocker un identifiant défini par l'utilisateur",
,Regular Expressions,Expressions rationnelles,,yes,terminology,"RegEx: séquence de caractères définissant les modèles de recherche et de correspondance de texte",Gramps_Glossary/fr#regex
,relation,lien,,False,"Suggested in Weblate: relation",
,remove,enlever,,False,,"supprimer une référence",
,Re-order,Réorganiser,,yes,terminology,"",Gramps_Glossary/fr#reorder
,Repositories,Dépôts,,yes,terminology,"",Gramps_Glossary/fr#repository
,Repository,Dépôt,,yes,terminology,"",Gramps_Glossary/fr#repository
,Role,Rôle,,yes,terminology,"",Gramps_Glossary/fr#role
,Roles,Rôles,,yes,terminology,"",Gramps_Glossary/fr#role
,romanization,romanization,,yes,,"",Gramps_Glossary/fr#romanization
,Rule,Règle,,yes,terminology,"",Gramps_Glossary/fr#rule
,Rules,Règles,,yes,terminology,"",Gramps_Glossary/fr#rule
,Secondary Object,Objet secondaire,,yes,terminology,"Enregistrement de base de données associé à divers objets principaux",Gramps_Glossary/fr#secondary_object
,Selector combo box,Boîte de sélection,,yes,terminology,"",Gramps_Glossary/fr#selector_combo_box
,selector,sélecteur d'objets,,yes,terminology,"",Gramps_Glossary/fr#selector
,Shared information,Informations partagées,,yes,terminology,"",Gramps_Glossary/fr#shared_information
,Shared object,Objet partagé,,yes,terminology,"un objet secondaire partagé entre plusieurs objets principaux avec des détails de pièce jointe personnalisables",Gramps_Glossary/fr#sharing
,Source,Source,,yes,terminology,"",Gramps_Glossary/fr#source
,Sources,Sources,,yes,terminology,"",Gramps_Glossary/fr#source
,SQLite,SQLite,,yes,terminology,"",Gramps_Glossary/fr#sqlite
,Stamen,Stamen,,False,,,
,substring,sous-chaîne,,False,,,
,Swatch,Swatch,,yes,terminology,"",Gramps_Glossary/fr#swatch
,Tags,Étiquettes,,yes,terminology,"Des titres personnalisés et un code couleur appliqués aux objets",Gramps_Glossary/fr#tag
,Tag,Tag,,yes,terminology,"un titre personnalisé et un code couleur appliqués à un objet",Gramps_Glossary/fr#tag
,Toolbar,barre d'outils,,yes,terminology,"Terme d'interface graphique : ruban de raccourcis permettant de déclencher une tâche ou un mode de fonctionnement de la vue",Gramps_Glossary/fr#toolbar
,Try to find,Essayer de trouver,,False,,,
,Typographical conventions,Conventions typographiques,,yes,,"formatage habituel impliquant une signification spéciale (et peut-être particulière)",Gramps_Glossary/fr#typographical_conventions
,Undock,Débarquer,,yes,terminology,"Terme d'interface graphique : détacher un Gramplet de la vue du tableau de bord ou des conteneurs à barres divisées",Gramps_Glossary/fr#dock
,Unknown,Inconnu,,yes,terminology,"Le terme indiquant le rôle joué dans un événement n'a pas été identifié.",Gramps_Glossary/fr#unknown
,User Directory,Annuaire des utilisateurs,,yes,terminology,"alias du chemin d'accès à un dossier contenant les personnalisations et les données des applications",Gramps_Glossary/fr#user_directory
,View category,Afficher la catégorie,,yes,terminology,"Ensemble de modes d'affichage présentant différents aspects d'informations structurées similaires",Gramps_Glossary/fr#view_category
,View mode,Mode d'affichage,,yes,terminology,"présentations d'affichage affichant les informations structurées d'une catégorie Vue de manière prévisible",Gramps_Glossary/fr#viewmode
,View,Voir,,yes,terminology,"Le mode d'affichage actuellement actif dans une catégorie avec des données filtrées. Incluant les commandes supplémentaires et les affichages de type gramplet.",Gramps_Glossary/fr#view
,Whether,Inclure ou non,,False,,,
,Wiki,Wiki,,yes,terminology,"un site web géré de manière collaborative",Gramps_Glossary/fr#wiki
,Witness,Témoin,,yes,,"un terme désignant le rôle de l'événement comme celui d'un observateur",Gramps_Glossary/fr#witness
,XML,XML,,yes,terminology,"un acronyme pour Extensible Markup Language : un format de fichier structuré qui permet des balises personnalisées",Gramps_Glossary/fr#xml

